"이미지 이름","PID","세션 이름","세션#","메모리 사용"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","468 K"
"Registry","88","Services","0","34,064 K"
"smss.exe","308","Services","0","976 K"
"csrss.exe","404","Services","0","4,420 K"
"wininit.exe","484","Services","0","6,104 K"
"services.exe","624","Services","0","7,404 K"
"lsass.exe","644","Services","0","17,336 K"
"svchost.exe","748","Services","0","26,720 K"
"fontdrvhost.exe","776","Services","0","2,144 K"
"svchost.exe","868","Services","0","14,520 K"
"svchost.exe","996","Services","0","75,592 K"
"svchost.exe","340","Services","0","20,688 K"
"svchost.exe","364","Services","0","36,324 K"
"svchost.exe","1064","Services","0","59,528 K"
"svchost.exe","1108","Services","0","12,948 K"
"svchost.exe","1184","Services","0","21,904 K"
"svchost.exe","1248","Services","0","28,380 K"
"Memory Compression","1804","Services","0","16,868 K"
"svchost.exe","1876","Services","0","5,692 K"
"svchost.exe","1884","Services","0","8,088 K"
"spoolsv.exe","1976","Services","0","22,448 K"
"svchost.exe","2044","Services","0","15,904 K"
"svchost.exe","2156","Services","0","27,444 K"
"MsMpEng.exe","2232","Services","0","104,792 K"
"svchost.exe","2760","Services","0","25,008 K"
"SearchIndexer.exe","2812","Services","0","37,544 K"
"NisSrv.exe","2988","Services","0","8,452 K"
"taskhostw.exe","3052","Services","0","15,124 K"
"CloudExperienceHostBroker.exe","3640","Services","0","15,600 K"
"svchost.exe","1072","Services","0","11,408 K"
"SgrmBroker.exe","5060","Services","0","5,776 K"
"svchost.exe","4316","Services","0","8,736 K"
"svchost.exe","3460","Services","0","10,964 K"
"csrss.exe","3592","Console","2","4,936 K"
"winlogon.exe","4600","Console","2","9,632 K"
"fontdrvhost.exe","4472","Console","2","9,804 K"
"dwm.exe","4476","Console","2","74,380 K"
"sihost.exe","3036","Console","2","27,904 K"
"svchost.exe","1372","Console","2","53,012 K"
"ctfmon.exe","3900","Console","2","16,596 K"
"explorer.exe","4368","Console","2","137,244 K"
"smartscreen.exe","1736","Console","2","24,100 K"
"dllhost.exe","3712","Console","2","19,124 K"
"svchost.exe","1352","Console","2","19,016 K"
"StartMenuExperienceHost.exe","3156","Console","2","77,260 K"
"RuntimeBroker.exe","3852","Console","2","29,076 K"
"SearchUI.exe","5104","Console","2","88,588 K"
"RuntimeBroker.exe","4304","Console","2","56,412 K"
"ApplicationFrameHost.exe","4664","Console","2","30,896 K"
"svchost.exe","944","Services","0","6,932 K"
"RuntimeBroker.exe","5176","Console","2","20,508 K"
"svchost.exe","5784","Services","0","20,312 K"
"dllhost.exe","3464","Console","2","12,956 K"
"dllhost.exe","7140","Console","2","16,400 K"
"taskhostw.exe","988","Console","2","10,428 K"
"Microsoft.Photos.exe","6480","Console","2","48 K"
"ShellExperienceHost.exe","2800","Console","2","46,372 K"
"RuntimeBroker.exe","2384","Console","2","20,692 K"
"RuntimeBroker.exe","4364","Console","2","15,704 K"
"RuntimeBroker.exe","476","Console","2","22,032 K"
"SecurityHealthSystray.exe","3216","Console","2","8,256 K"
"SecurityHealthService.exe","4412","Services","0","13,844 K"
"OneDrive.exe","6692","Console","2","22,648 K"
"SkypeApp.exe","728","Console","2","5,128 K"
"RuntimeBroker.exe","6936","Console","2","22,784 K"
"svchost.exe","4552","Services","0","11,232 K"
"MicrosoftEdge.exe","1600","Console","2","47,404 K"
"browser_broker.exe","432","Console","2","8,188 K"
"Windows.WARP.JITService.exe","3132","Services","0","5,556 K"
"MicrosoftEdgeSH.exe","4048","Console","2","11,160 K"
"MicrosoftEdgeCP.exe","1756","Console","2","22,388 K"
"cmd.exe","5588","Console","2","5,000 K"
"conhost.exe","4908","Console","2","20,920 K"
"audiodg.exe","4844","Services","0","12,848 K"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","3200","Console","2","38,168 K"
"svchost.exe","3348","Services","0","13,272 K"
"SearchProtocolHost.exe","948","Console","2","8,660 K"
"AnySign4PC.exe","6792","Console","2","21,844 K"
"AnySign4PCLauncher.exe","6116","Services","0","21,424 K"
"SkypeBackgroundHost.exe","1744","Console","2","1,028 K"
"CrossEXService.exe","2628","Console","2","8,220 K"
"G4CWSLocalServer.exe","3584","Services","0","7,152 K"
"RuntimeBroker.exe","3292","Console","2","23,484 K"
"SearchFilterHost.exe","2412","Services","0","6,164 K"
"taskhostw.exe","1680","Console","2","18,832 K"
"svchost.exe","908","Services","0","5,984 K"
"tasklist.exe","2204","Console","2","8,216 K"
"WmiPrvSE.exe","3420","Services","0","8,508 K"
