"이미지 이름","PID","세션 이름","세션#","메모리 사용"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","640 K"
"Registry","88","Services","0","74,292 K"
"smss.exe","360","Services","0","1,240 K"
"csrss.exe","448","Services","0","4,860 K"
"wininit.exe","528","Services","0","6,900 K"
"csrss.exe","544","Console","1","4,956 K"
"winlogon.exe","620","Console","1","11,496 K"
"services.exe","656","Services","0","7,376 K"
"lsass.exe","676","Services","0","15,336 K"
"fontdrvhost.exe","760","Services","0","3,144 K"
"fontdrvhost.exe","768","Console","1","5,288 K"
"svchost.exe","784","Services","0","26,400 K"
"svchost.exe","888","Services","0","12,016 K"
"dwm.exe","976","Console","1","60,248 K"
"svchost.exe","436","Services","0","59,544 K"
"svchost.exe","688","Services","0","14,888 K"
"svchost.exe","724","Services","0","27,956 K"
"svchost.exe","1032","Services","0","41,632 K"
"svchost.exe","1160","Services","0","32,844 K"
"svchost.exe","1284","Services","0","17,844 K"
"svchost.exe","1420","Services","0","7,344 K"
"Memory Compression","1492","Services","0","38,704 K"
"svchost.exe","1568","Services","0","12,448 K"
"svchost.exe","1636","Services","0","6,332 K"
"svchost.exe","1648","Services","0","9,496 K"
"svchost.exe","1676","Services","0","16,528 K"
"spoolsv.exe","1808","Services","0","14,896 K"
"svchost.exe","1828","Services","0","17,936 K"
"svchost.exe","1912","Services","0","11,136 K"
"svchost.exe","2008","Services","0","25,612 K"
"MsMpEng.exe","1368","Services","0","98,508 K"
"svchost.exe","1536","Services","0","12,908 K"
"sihost.exe","2648","Console","1","24,860 K"
"svchost.exe","2668","Console","1","38,532 K"
"taskhostw.exe","2768","Console","1","15,724 K"
"ctfmon.exe","2876","Console","1","14,376 K"
"explorer.exe","384","Console","1","89,072 K"
"svchost.exe","2724","Console","1","17,144 K"
"StartMenuExperienceHost.exe","3308","Console","1","65,308 K"
"sppsvc.exe","3468","Services","0","16,564 K"
"RuntimeBroker.exe","3476","Console","1","29,948 K"
"SearchUI.exe","3624","Console","1","83,640 K"
"SearchIndexer.exe","3748","Services","0","31,660 K"
"RuntimeBroker.exe","3948","Console","1","33,096 K"
"ApplicationFrameHost.exe","4028","Console","1","28,668 K"
"MicrosoftEdge.exe","4072","Console","1","48,044 K"
"SkypeBackgroundHost.exe","3520","Console","1","1,836 K"
"SkypeApp.exe","4144","Console","1","6,860 K"
"browser_broker.exe","4216","Console","1","8,252 K"
"svchost.exe","4224","Services","0","7,468 K"
"Windows.WARP.JITService.exe","4312","Services","0","5,548 K"
"RuntimeBroker.exe","4432","Console","1","8,096 K"
"MicrosoftEdgeCP.exe","4500","Console","1","22,396 K"
"MicrosoftEdgeSH.exe","4552","Console","1","11,164 K"
"SearchProtocolHost.exe","4852","Console","1","6,644 K"
"SearchFilterHost.exe","4936","Services","0","6,116 K"
"SppExtComObj.Exe","4948","Services","0","8,328 K"
"WmiPrvSE.exe","268","Services","0","11,204 K"
"SearchProtocolHost.exe","3332","Services","0","7,640 K"
"RuntimeBroker.exe","4804","Console","1","16,080 K"
"backgroundTaskHost.exe","68","Console","1","9,108 K"
"smartscreen.exe","5036","Console","1","22,680 K"
"SecurityHealthSystray.exe","5088","Console","1","8,616 K"
"SecurityHealthService.exe","5016","Services","0","13,476 K"
"OneDrive.exe","4160","Console","1","64,832 K"
"NisSrv.exe","4192","Services","0","9,712 K"
"ShellExperienceHost.exe","5320","Console","1","36,744 K"
"RuntimeBroker.exe","5396","Console","1","24,384 K"
"svchost.exe","5692","Services","0","7,392 K"
"dllhost.exe","5740","Console","1","12,220 K"
"cmd.exe","5936","Console","1","4,924 K"
"conhost.exe","5944","Console","1","22,564 K"
"audiodg.exe","6052","Services","0","11,568 K"
"WinStore.App.exe","6136","Console","1","37,504 K"
"RuntimeBroker.exe","2524","Console","1","7,180 K"
"backgroundTaskHost.exe","3188","Console","1","22,668 K"
"backgroundTaskHost.exe","800","Console","1","24,088 K"
"RuntimeBroker.exe","5328","Console","1","10,084 K"
"RuntimeBroker.exe","3616","Console","1","19,928 K"
"RuntimeBroker.exe","5784","Console","1","29,264 K"
"tasklist.exe","1816","Console","1","8,220 K"
