"이미지 이름","PID","세션 이름","세션#","메모리 사용"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","420 K"
"Registry","88","Services","0","21,896 K"
"smss.exe","360","Services","0","1,096 K"
"csrss.exe","448","Services","0","4,412 K"
"wininit.exe","528","Services","0","6,180 K"
"csrss.exe","544","Console","1","4,540 K"
"winlogon.exe","620","Console","1","8,964 K"
"services.exe","656","Services","0","7,340 K"
"lsass.exe","676","Services","0","15,468 K"
"fontdrvhost.exe","760","Services","0","3,328 K"
"fontdrvhost.exe","768","Console","1","10,580 K"
"svchost.exe","784","Services","0","24,604 K"
"svchost.exe","888","Services","0","11,912 K"
"dwm.exe","976","Console","1","56,192 K"
"svchost.exe","436","Services","0","48,812 K"
"svchost.exe","688","Services","0","16,228 K"
"svchost.exe","724","Services","0","26,292 K"
"svchost.exe","1032","Services","0","50,624 K"
"svchost.exe","1160","Services","0","30,208 K"
"svchost.exe","1284","Services","0","17,196 K"
"Memory Compression","1492","Services","0","11,124 K"
"svchost.exe","1568","Services","0","11,888 K"
"svchost.exe","1636","Services","0","5,924 K"
"svchost.exe","1648","Services","0","8,196 K"
"svchost.exe","1676","Services","0","13,464 K"
"spoolsv.exe","1808","Services","0","12,540 K"
"svchost.exe","1828","Services","0","16,832 K"
"svchost.exe","1912","Services","0","10,220 K"
"svchost.exe","2008","Services","0","27,188 K"
"MsMpEng.exe","1368","Services","0","123,720 K"
"svchost.exe","1536","Services","0","12,908 K"
"sihost.exe","2648","Console","1","24,520 K"
"svchost.exe","2668","Console","1","39,060 K"
"taskhostw.exe","2768","Console","1","19,660 K"
"ctfmon.exe","2876","Console","1","15,716 K"
"explorer.exe","384","Console","1","91,568 K"
"svchost.exe","2724","Console","1","20,736 K"
"StartMenuExperienceHost.exe","3308","Console","1","58,660 K"
"RuntimeBroker.exe","3476","Console","1","23,948 K"
"SearchUI.exe","3624","Console","1","83,324 K"
"SearchIndexer.exe","3748","Services","0","37,548 K"
"RuntimeBroker.exe","3948","Console","1","45,916 K"
"ApplicationFrameHost.exe","4028","Console","1","26,736 K"
"MicrosoftEdge.exe","4072","Console","1","41,996 K"
"SkypeBackgroundHost.exe","3520","Console","1","152 K"
"SkypeApp.exe","4144","Console","1","348 K"
"browser_broker.exe","4216","Console","1","7,736 K"
"svchost.exe","4224","Services","0","6,912 K"
"Windows.WARP.JITService.exe","4312","Services","0","5,124 K"
"RuntimeBroker.exe","4432","Console","1","7,268 K"
"MicrosoftEdgeCP.exe","4500","Console","1","21,448 K"
"MicrosoftEdgeSH.exe","4552","Console","1","10,460 K"
"RuntimeBroker.exe","4804","Console","1","14,856 K"
"smartscreen.exe","5036","Console","1","21,392 K"
"SecurityHealthSystray.exe","5088","Console","1","8,288 K"
"SecurityHealthService.exe","5016","Services","0","13,304 K"
"OneDrive.exe","4160","Console","1","49,088 K"
"NisSrv.exe","4192","Services","0","9,392 K"
"ShellExperienceHost.exe","5320","Console","1","36,080 K"
"RuntimeBroker.exe","5396","Console","1","19,172 K"
"svchost.exe","5692","Services","0","7,044 K"
"dllhost.exe","5740","Console","1","11,128 K"
"cmd.exe","5936","Console","1","4,872 K"
"conhost.exe","5944","Console","1","22,572 K"
"audiodg.exe","6052","Services","0","9,320 K"
"WinStore.App.exe","6136","Console","1","100 K"
"RuntimeBroker.exe","2524","Console","1","6,876 K"
"RuntimeBroker.exe","6088","Console","1","7,556 K"
"svchost.exe","5628","Services","0","10,888 K"
"SgrmBroker.exe","5000","Services","0","5,548 K"
"svchost.exe","1836","Services","0","9,292 K"
"wpmsvc.exe","1300","Services","0","11,948 K"
"veraport.exe","4176","Console","1","28,452 K"
"AnySign4PC.exe","1748","Console","1","20,472 K"
"AnySign4PCLauncher.exe","3852","Services","0","21,068 K"
"CrossEXService.exe","2928","Console","1","7,916 K"
"G4CWSLocalServer.exe","1684","Services","0","6,988 K"
"msiexec.exe","964","Services","0","18,656 K"
"ezPDFWSLauncher.exe","5164","Services","0","10,352 K"
"WMIADAP.exe","1392","Services","0","7,568 K"
"WmiPrvSE.exe","1840","Services","0","8,176 K"
"svchost.exe","5568","Services","0","8,460 K"
"SearchProtocolHost.exe","3452","Console","1","10,844 K"
"SearchFilterHost.exe","2184","Services","0","6,172 K"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","60","Console","1","38,408 K"
"tasklist.exe","3492","Console","1","8,208 K"
"WmiPrvSE.exe","5612","Services","0","8,492 K"
